"filename", "language", "C#", "JSON", "UnityShader", "Markdown", "comment", "blank", "total"
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark01.cs", "C#", 63, 0, 0, 0, 29, 37, 129
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark01_UGUI.cs", "C#", 59, 0, 0, 0, 37, 40, 136
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark02.cs", "C#", 65, 0, 0, 0, 6, 27, 98
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark03.cs", "C#", 73, 0, 0, 0, 1, 19, 93
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark04.cs", "C#", 41, 0, 0, 0, 26, 19, 86
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/CameraController.cs", "C#", 198, 0, 0, 0, 25, 69, 292
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/ChatController.cs", "C#", 31, 0, 0, 0, 5, 16, 52
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/DropdownSample.cs", "C#", 15, 0, 0, 0, 0, 5, 20
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/EnvMapAnimator.cs", "C#", 23, 0, 0, 0, 4, 9, 36
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/ObjectSpin.cs", "C#", 50, 0, 0, 0, 4, 15, 69
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/ShaderPropAnimator.cs", "C#", 33, 0, 0, 0, 5, 14, 52
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/SimpleScript.cs", "C#", 24, 0, 0, 0, 15, 20, 59
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/SkewTextExample.cs", "C#", 95, 0, 0, 0, 18, 46, 159
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_DigitValidator.cs", "C#", 19, 0, 0, 0, 5, 4, 28
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_ExampleScript_01.cs", "C#", 37, 0, 0, 0, 9, 19, 65
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_FrameRateCounter.cs", "C#", 91, 0, 0, 0, 11, 33, 135
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_PhoneNumberValidator.cs", "C#", 93, 0, 0, 0, 7, 6, 106
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextEventCheck.cs", "C#", 56, 0, 0, 0, 1, 17, 74
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextEventHandler.cs", "C#", 170, 0, 0, 0, 31, 54, 255
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextInfoDebugTool.cs", "C#", 409, 0, 0, 0, 97, 147, 653
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextSelector_A.cs", "C#", 100, 0, 0, 0, 17, 41, 158
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_TextSelector_B.cs", "C#", 250, 0, 0, 0, 191, 107, 548
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMP_UiFrameRateCounter.cs", "C#", 96, 0, 0, 0, 1, 28, 125
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TMPro_InstructionOverlay.cs", "C#", 55, 0, 0, 0, 6, 24, 85
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TeleType.cs", "C#", 40, 0, 0, 0, 15, 28, 83
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TextConsoleSimulator.cs", "C#", 79, 0, 0, 0, 13, 29, 121
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TextMeshProFloatingText.cs", "C#", 135, 0, 0, 0, 32, 57, 224
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/TextMeshSpawner.cs", "C#", 46, 0, 0, 0, 13, 21, 80
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexColorCycler.cs", "C#", 48, 0, 0, 0, 13, 24, 85
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexJitter.cs", "C#", 105, 0, 0, 0, 26, 44, 175
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexShakeA.cs", "C#", 99, 0, 0, 0, 23, 39, 161
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexShakeB.cs", "C#", 112, 0, 0, 0, 29, 44, 185
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/VertexZoom.cs", "C#", 112, 0, 0, 0, 32, 48, 192
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/WarpTextExample.cs", "C#", 87, 0, 0, 0, 15, 43, 145
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 0, 109, 0, 2, 33, 144
"/Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Shaders/TMP_Bitmap-Mobile.shader", "UnityShader", 0, 0, 112, 0, 3, 31, 146
