Date : 2024-07-06 23:28:14
Directory : /Users/shadymansour/unity_projects/speziman
Total : 113 files,  11185 codes, 1372 comments, 2911 blanks, all 15468 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |         92 |      8,109 |      1,290 |      2,252 |     11,651 |
| UnityShader |         17 |      2,338 |         82 |        644 |      3,064 |
| JSON        |          3 |        723 |          0 |          4 |        727 |
| Markdown    |          1 |         15 |          0 |         11 |         26 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        113 |     11,185 |      1,372 |      2,911 |     15,468 |
| . (Files)                                                                                                                       |          1 |         15 |          0 |         11 |         26 |
| Assets                                                                                                                          |        110 |     10,602 |      1,372 |      2,898 |     14,872 |
| Assets/3rd-Party                                                                                                                |         73 |      7,563 |      1,232 |      2,301 |     11,096 |
| Assets/3rd-Party/TextMesh Pro                                                                                                   |         52 |      5,502 |        844 |      1,839 |      8,185 |
| Assets/3rd-Party/TextMesh Pro/Examples & Extras                                                                                 |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts                                                                         |         34 |      3,009 |        762 |      1,193 |      4,964 |
| Assets/3rd-Party/TextMesh Pro/Shaders                                                                                           |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets/3rd-Party/TextMesh Pro/Sprites                                                                                           |          1 |        155 |          0 |          2 |        157 |
| Assets/3rd-Party/TextWriter                                                                                                     |          2 |        146 |         17 |         35 |        198 |
| Assets/3rd-Party/TextWriter/Scripts                                                                                             |          2 |        146 |         17 |         35 |        198 |
| Assets/3rd-Party/_                                                                                                              |         19 |      1,915 |        371 |        427 |      2,713 |
| Assets/3rd-Party/_/Stuff                                                                                                        |         19 |      1,915 |        371 |        427 |      2,713 |
| Assets/3rd-Party/_/Stuff/CodeMonkey                                                                                             |         19 |      1,915 |        371 |        427 |      2,713 |
| Assets/3rd-Party/_/Stuff/CodeMonkey (Files)                                                                                     |          2 |         70 |         42 |         30 |        142 |
| Assets/3rd-Party/_/Stuff/CodeMonkey/MonoBehaviours                                                                              |          4 |        150 |         58 |         49 |        257 |
| Assets/3rd-Party/_/Stuff/CodeMonkey/Utils                                                                                       |         13 |      1,695 |        271 |        348 |      2,314 |
| Assets/Scripts                                                                                                                  |         37 |      3,039 |        140 |        597 |      3,776 |
| Packages                                                                                                                        |          2 |        568 |          0 |          2 |        570 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                        | language    | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark01.cs              | C#          |         63 |         29 |         37 |        129 |
| /Users/shadymansour/unity_projects/speziman/Assets/3rd-Party/TextMesh Pro/Examples & Extras/Scripts/Benchmark01_UGUI.cs         | C#          |         59 |         37 |         40 |        136 |
